geoid,state_fips,state,name_county,name.x,population,median_income,median_home_value,median_age,vacancy_rate,longitude,latitude,climate_val,climate_flag,growing_val,growing_flag,type,type_name,clean_name
1983910,19,IA,Polk,"West Des Moines city, Iowa",69893,84925,286300,36.5,0.05296830828745722,-93.78066274119104,41.552035459641175,0.45691656988005996,FALSE,22.93522944966438,TRUE,risk,City at Risk,West Des Moines
2036000,20,KS,Wyandotte,"Kansas City city, Kansas",154776,59183,147100,34,0.11096342397848286,-94.7442249706873,39.123472138578435,0.33383634853897914,TRUE,8.811084449637018,TRUE,destination,Destination City,Kansas City
2038900,20,KS,Douglas,"Lawrence city, Kansas",95459,62838,269500,29.2,0.06983240223463687,-95.26422944236046,38.959813192810024,0.3825863679635413,TRUE,9.578821129161236,TRUE,destination,Destination City,Lawrence
2039350,20,KS,Johnson,"Lenexa city, Kansas",57986,102344,368800,37.7,0.04364474661040128,-94.80184436679649,38.96091205896104,0.3077124719467972,TRUE,20.928527267910855,TRUE,destination,Destination City,Lenexa
2044250,20,KS,Riley,"Manhattan city, Kansas",53951,58441,243700,25.2,0.10918878934823703,-96.60430509287352,39.18864160571591,0.36628872098641385,TRUE,3.932950662498688,TRUE,destination,Destination City,Manhattan
2052575,20,KS,Johnson,"Olathe city, Kansas",143720,112232,340600,36.6,0.029098108062678596,-94.82026083381884,38.88285754693153,0.3077124719467972,TRUE,14.368521607934209,TRUE,destination,Destination City,Olathe
2053775,20,KS,Johnson,"Overland Park city, Kansas",197199,103838,384400,38.6,0.04963458498476483,-94.68700070317843,38.88686108182392,0.3077124719467972,TRUE,14.04769991805403,TRUE,destination,Destination City,Overland Park
2064500,20,KS,Johnson,"Shawnee city, Kansas",68175,106312,332900,38.1,0.03278505091193913,-94.80762973626231,39.01578658180025,0.3077124719467972,TRUE,11.003689268503063,TRUE,destination,Destination City,Shawnee
2071000,20,KS,Shawnee,"Topeka city, Kansas",126103,55902,130600,38.2,0.0945123476346901,-95.69542564859852,39.034659032732804,0.38105955065481456,TRUE,-0.7606813898487583,FALSE,opportunity,Opportunity City,Topeka
2079000,20,KS,Sedgwick,"Wichita city, Kansas",396488,63072,179500,35.7,0.10193176445120458,-97.34485912290677,37.68945424540181,0.3296543889859214,TRUE,4.501433666042596,TRUE,destination,Destination City,Wichita
2108902,21,KY,Warren,"Bowling Green city, Kentucky",73638,48419,232100,27.9,0.09249526370469963,-86.43465484282298,36.97287069050738,0.4160257568154432,FALSE,28.802284672216256,TRUE,risk,City at Risk,Bowling Green
2146027,21,KY,Fayette,"Lexington-Fayette urban county, Kentucky",321122,67631,272100,35.2,0.0671337665854319,-84.45869471114449,38.04225899327637,0.5008554535904723,FALSE,8.601601834896158,TRUE,risk,City at Risk,Lexington-Fayette
2148006,21,KY,Jefferson,"Louisville/Jefferson County metro government (balance), Kentucky",627210,64731,221500,37.7,0.08785718997246977,-85.64872704662245,38.16628644167887,0.432307622455432,FALSE,7.42680005172631,TRUE,risk,City at Risk,Louisville/Jefferson County metro government
2158620,21,KY,Daviess,"Owensboro city, Kentucky",60112,53295,162900,37.7,0.0747041963695157,-87.11678935872402,37.75726244225586,0.4278009107616984,FALSE,6.966951700852766,TRUE,risk,City at Risk,Owensboro
2205000,22,LA,East Baton Rouge,"Baton Rouge city, Louisiana",223699,49944,224500,31.8,0.17678841582018587,-91.13047560455055,30.4415460285627,0.510821930200859,FALSE,-3.500691378604847,FALSE,origin,Origin City,Baton Rouge
2208920,22,LA,Bossier,"Bossier City city, Louisiana",62832,55130,192300,35.1,0.11562865548899366,-93.66699779454304,32.52313725705117,0.3777704207351244,TRUE,-2.5095569342608255,FALSE,opportunity,Opportunity City,Bossier City
